Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,Contracted_Production,Spot_Production,Curtailed_Volume,Take_Or_Pay_Penalty,SRMC,Opex,Transport_Cost,Profit_Margin,Max_Capacity,Is_Operational,Plant_ID,Design_Load_Factor,Annual_Load_Factor,NPV,Discount_Rate,ROACE,Feedstock_Price,Available_Feedstock,Current_Supply,Optimism_Factor,SAF_Demand,Consumer_Price_Forecast,EBIT,Raw_ROACE,Max_Supply,Cumulative_Allocated,Num_Owned_Sites,State_Spot_Price,Aggregator_Contracted_Capacity,Contract_Price,Initial_Contract_Price,Num_Contracts,Avg_Contract_Coverage
15,site_CHHATTISGARH_245,15,2039,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,76604.95909200316,22981487.727600947,1495.71,285.71,600.0,250.0,100000.0,True,site_CHHATTISGARH_245,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
15,site_HARYANA_525,15,2039,SAFProductionSite,site_HARYANA_525,HARYANA,inv_10,46940.949345540736,46940.949345540736,0.0,37057.11081670926,11117133.245012779,1495.71,285.71,600.0,250.0,100000.0,True,site_HARYANA_525,1.0,,,,,,,,,,,11479445.11443077,,,,0,445.50000000000006,86545.10098269311,405.0,405.0,,
15,site_ODISHA_624,15,2039,SAFProductionSite,site_ODISHA_624,ODISHA,inv_11,88027.59483911526,85005.42594414088,3022.168894974384,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_ODISHA_624,1.0,,,,,,,,,,,21020113.58786367,,,,0,445.50000000000006,89404.74534625192,405.0,405.0,,
15,site_BIHAR_725,15,2039,SAFProductionSite,site_BIHAR_725,BIHAR,inv_12,0.0,0.0,0.0,82220.89048512274,24666267.14553682,1525.71,285.71,600.0,250.0,100000.0,True,site_BIHAR_725,1.0,,,,,,,,,,,0.0,,,,0,467.50000000000006,86458.07461765366,425.0,425.0,,
16,site_GUJARAT_001,16,2040,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,88334.57464803623,84776.07525653655,3558.499391499674,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,15230207.163902909,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
16,site_PUNJAB_020,16,2040,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,0.0,0.0,0.0,83236.67828359583,24971003.48507875,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
16,site_CHHATTISGARH_245,16,2040,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,77804.06721266327,23341220.16379898,1495.71,285.71,600.0,250.0,100000.0,True,site_CHHATTISGARH_245,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
16,site_HARYANA_525,16,2040,SAFProductionSite,site_HARYANA_525,HARYANA,inv_10,69237.8305128485,69237.8305128485,0.0,13694.472517855611,4108341.7553566834,1495.71,285.71,600.0,250.0,100000.0,True,site_HARYANA_525,1.0,,,,,,,,,,,16932164.48103237,,,,0,445.50000000000006,86545.10098269311,405.0,405.0,,
16,site_ODISHA_624,16,2040,SAFProductionSite,site_ODISHA_624,ODISHA,inv_11,88027.59483911526,87517.56759548752,510.0272436277446,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_ODISHA_624,1.0,,,,,,,,,,,21020113.58786367,,,,0,445.50000000000006,89404.74534625192,405.0,405.0,,
16,site_BIHAR_725,16,2040,SAFProductionSite,site_BIHAR_725,BIHAR,inv_12,0.0,0.0,0.0,83719.9056703372,25115971.70110116,1525.71,285.71,600.0,250.0,100000.0,True,site_BIHAR_725,1.0,,,,,,,,,,,0.0,,,,0,467.50000000000006,86458.07461765366,425.0,425.0,,
17,site_GUJARAT_001,17,2041,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,87391.39279278007,83502.61231880494,3888.78047397513,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,15499683.651768133,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
17,site_PUNJAB_020,17,2041,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,0.0,0.0,0.0,81493.92223550237,24448176.67065071,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
17,site_CHHATTISGARH_245,17,2041,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,78302.90467308619,23490871.401925858,1495.71,285.71,600.0,250.0,100000.0,True,site_CHHATTISGARH_245,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
17,site_HARYANA_525,17,2041,SAFProductionSite,site_HARYANA_525,HARYANA,inv_10,86800.27158079209,83315.24224435765,3485.0293364344398,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_HARYANA_525,1.0,,,,,,,,,,,19513927.67967759,,,,0,445.50000000000006,86545.10098269311,405.0,405.0,,
17,site_ODISHA_624,17,2041,SAFProductionSite,site_ODISHA_624,ODISHA,inv_11,88084.79164633536,85060.65906699598,3024.132579339377,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_ODISHA_624,1.0,,,,,,,,,,,21003771.88807282,,,,0,445.50000000000006,89404.74534625192,405.0,405.0,,
17,site_BIHAR_725,17,2041,SAFProductionSite,site_BIHAR_725,BIHAR,inv_12,1346.5167412595038,1346.5167412595038,0.0,80857.39187915795,24257217.563747384,1525.71,285.71,600.0,250.0,100000.0,True,site_BIHAR_725,1.0,,,,,,,,,,,301949.21806429396,,,,0,467.50000000000006,86458.07461765366,425.0,425.0,,
18,site_GUJARAT_001,18,2042,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,87391.39279278007,84034.37703078245,3357.0157619976235,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,15499683.651768133,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
18,site_PUNJAB_020,18,2042,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,0.0,0.0,0.0,82277.0517300558,24683115.51901674,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
